bucket,cache_key,topic_id,skill,location,hit_count,question,stored_answer,builder_answer,builder_id
DISAGREE,v19|y5m-shape|curriculum|secure|guided|measure angles in degrees,y5m-shape,Measure angles in degrees,independentPractice[1],0,"One arm begins at $0°$, and the second arm reaches $92°$. Measure the angle.",$92°$,88°,angle_diagram
DISAGREE,v19|y5m-shape|curriculum|secure|guided|measure angles in degrees,y5m-shape,Measure angles in degrees,independentPractice[2],0,"One arm begins at $0°$, and the second arm reaches $146°$. Measure the angle.",$146°$,34°,angle_diagram
AGREE,v19|y5m-decimals|curriculum|secure|lesson|add and subtract decimals,y5m-decimals,Add and subtract decimals,workedExample,1,$3.46 + 2.18$,5.64,5.64,decimal_column
AGREE,v19|y5m-decimals|curriculum|secure|lesson|add and subtract decimals,y5m-decimals,Add and subtract decimals,tryThis,1,$4.27 + 1.35$,5.62,5.62,decimal_column
AGREE,v19|y5m-decimals|curriculum|secure|lesson|add and subtract decimals,y5m-decimals,Add and subtract decimals,quickCheck,1,Which calculation is set out correctly: $3.5 + 1.27$ or $3.5 + 1.27$ with decimal points lined up?,4.77,4.77,decimal_column
AGREE,v19|y5m-decimals|curriculum|secure|lesson|add and subtract decimals,y5m-decimals,Add and subtract decimals,guidedPractice[0],1,$2.35 + 1.42$,3.77,3.77,decimal_column
AGREE,v19|y5m-decimals|curriculum|secure|lesson|add and subtract decimals,y5m-decimals,Add and subtract decimals,guidedPractice[1],1,$5.68 + 2.17$,7.85,7.85,decimal_column
AGREE,v19|y5m-decimals|curriculum|secure|lesson|add and subtract decimals,y5m-decimals,Add and subtract decimals,independentPractice[0],1,$1.24 + 3.53$,4.77,4.77,decimal_column
AGREE,v19|y5m-decimals|curriculum|secure|lesson|add and subtract decimals,y5m-decimals,Add and subtract decimals,independentPractice[1],1,$6.39 + 2.46$,8.85,8.85,decimal_column
AGREE,v19|y5m-decimals|curriculum|secure|lesson|add and subtract decimals,y5m-decimals,Add and subtract decimals,independentPractice[2],1,$4.75 + 3.28$,8.03,8.03,decimal_column
AGREE,y5m-mult-div-a|curriculum|greater_depth|guided,y5m-mult-div-a,,workedExample,0,What are the first three multiples of $5$?,"The first three multiples of $5$ are $5$, $10$, and $15$.","5, 10, 15",multiples_number_line
AGREE,y5m-mult-div-a|curriculum|greater_depth|guided,y5m-mult-div-a,,tryThis,0,What is $7$ times $100$?,$700$,700,place_value_shift
UNVERIFIABLE,y5m-mult-div-a|curriculum|secure|guided,y5m-mult-div-a,,workedExample,0,What is $12 	imes 10$?,$120$,,
UNVERIFIABLE,y5m-mult-div-a|curriculum|secure|guided,y5m-mult-div-a,,tryThis,0,What is $25 	imes 100$?,$2500$,,
UNVERIFIABLE,y5m-add-subtract|curriculum|secure|guided,y5m-add-subtract,,workedExample,1,"What is $4,567 + 3,249$?","$7,816$",,
UNVERIFIABLE,y5m-add-subtract|curriculum|secure|guided,y5m-add-subtract,,tryThis,1,"What is $5,432 - 2,138$?","$3,294$",,
UNVERIFIABLE,v19|y6m-mult-div|curriculum|developing|lesson|long multiplication,y6m-mult-div,Long multiplication,workedExample,0,$24 \times 13$,312,,
UNVERIFIABLE,v19|y6m-mult-div|curriculum|developing|lesson|long multiplication,y6m-mult-div,Long multiplication,tryThis,0,$23 \times 12$,$276$,,
UNVERIFIABLE,v19|y6m-mult-div|curriculum|developing|lesson|long multiplication,y6m-mult-div,Long multiplication,quickCheck,0,"In $26 \times 14$, what does the $1$ in $14$ mean?","It means $1$ ten, or $10$.",,
UNVERIFIABLE,v19|y6m-mult-div|curriculum|developing|lesson|long multiplication,y6m-mult-div,Long multiplication,guidedPractice[0],0,$21 \times 12$,$252$,,
UNVERIFIABLE,v19|y6m-mult-div|curriculum|developing|lesson|long multiplication,y6m-mult-div,Long multiplication,guidedPractice[1],0,$32 \times 11$,$352$,,
UNVERIFIABLE,v19|y6m-mult-div|curriculum|developing|lesson|long multiplication,y6m-mult-div,Long multiplication,independentPractice[0],0,$22 \times 13$,$286$,,
UNVERIFIABLE,v19|y6m-mult-div|curriculum|developing|lesson|long multiplication,y6m-mult-div,Long multiplication,independentPractice[1],0,$31 \times 12$,$372$,,
UNVERIFIABLE,v19|y6m-mult-div|curriculum|developing|lesson|long multiplication,y6m-mult-div,Long multiplication,independentPractice[2],0,$34 \times 12$,$408$,,
UNVERIFIABLE,y6m-converting-units|curriculum|secure|guided,y6m-converting-units,,workedExample,0,How many metres are in $5$ kilometres?,$5000$ metres,,
DISAGREE,y6m-converting-units|curriculum|secure|guided,y6m-converting-units,,tryThis,0,Convert $3$ miles to kilometres. (Hint: multiply by $1.6$),$4.8$ kilometres,3/5 = 0.6 = 60%,fdp_equivalence
UNVERIFIABLE,y6m-mult-div|curriculum|secure|guided,y6m-mult-div,,workedExample,0,Let's multiply $24$ by $6$ using long multiplication.,$144$,,
UNVERIFIABLE,y6m-mult-div|curriculum|secure|guided,y6m-mult-div,,tryThis,0,Multiply $35$ by $4$ using long multiplication.,$140$,,
UNVERIFIABLE,v3|y5m-mult-div-a|curriculum|secure|lesson,y5m-mult-div-a,,workedExample,0,Find the multiples of $4$ up to $40$.,"The multiples of $4$ up to $40$ are $4, 8, 12, 16, 20, 24, 28, 32, 36, 40$.",,
AGREE,v3|y5m-mult-div-a|curriculum|secure|lesson,y5m-mult-div-a,,tryThis,0,What are the factors of $18$?,"The factors of $18$ are $1, 2, 3, 6, 9, 18$.","1, 2, 3, 6, 9, 18",multiples_number_line
UNVERIFIABLE,v3|y5m-mult-div-a|curriculum|secure|guided,y5m-mult-div-a,,workedExample,0,What is $36 \times 15$?,$540$,,
UNVERIFIABLE,v3|y5m-mult-div-a|curriculum|secure|guided,y5m-mult-div-a,,tryThis,0,What is $48 \times 25$?,$1200$,,
AGREE,v19|y6m-mult-div|curriculum|secure|lesson|order of operations (bidmas),y6m-mult-div,Order of operations (BIDMAS),workedExample,19,$18 + 6 \times 4 - 5$,37,37,order_of_operations
AGREE,v19|y6m-mult-div|curriculum|secure|lesson|order of operations (bidmas),y6m-mult-div,Order of operations (BIDMAS),tryThis,19,$25 - 3 \times 6 + 4$,11,11,order_of_operations
AGREE,v19|y6m-mult-div|curriculum|secure|lesson|order of operations (bidmas),y6m-mult-div,Order of operations (BIDMAS),quickCheck,19,$16 + 12 \div 3 - 4$,16,16,order_of_operations
AGREE,v19|y6m-mult-div|curriculum|secure|lesson|order of operations (bidmas),y6m-mult-div,Order of operations (BIDMAS),guidedPractice[0],19,$14 + 5 \times 3$,29,29,order_of_operations
AGREE,v19|y6m-mult-div|curriculum|secure|lesson|order of operations (bidmas),y6m-mult-div,Order of operations (BIDMAS),guidedPractice[1],19,$30 - 4 \times 5 + 2$,12,12,order_of_operations
AGREE,v19|y6m-mult-div|curriculum|secure|lesson|order of operations (bidmas),y6m-mult-div,Order of operations (BIDMAS),guidedPractice[2],19,$36 \div 6 + 7 - 3$,10,10,order_of_operations
AGREE,v19|y6m-mult-div|curriculum|secure|lesson|order of operations (bidmas),y6m-mult-div,Order of operations (BIDMAS),independentPractice[0],19,$9 + 7 \times 4$,37,37,order_of_operations
AGREE,v19|y6m-mult-div|curriculum|secure|lesson|order of operations (bidmas),y6m-mult-div,Order of operations (BIDMAS),independentPractice[1],19,$45 \div 5 + 8 - 6$,11,11,order_of_operations
AGREE,v19|y6m-mult-div|curriculum|secure|lesson|order of operations (bidmas),y6m-mult-div,Order of operations (BIDMAS),independentPractice[2],19,$50 - 6 \times 7 + 9$,17,17,order_of_operations
AGREE,v19|y6m-mult-div|curriculum|secure|lesson|order of operations (bidmas),y6m-mult-div,Order of operations (BIDMAS),independentPractice[3],19,$24 \div 3 \times 2 + 5$,21,21,order_of_operations
UNVERIFIABLE,v19|y6m-shape|curriculum|secure|lesson|measure and classify angles,y6m-shape,Measure and classify angles,workedExample,27,Measure and classify angle $CBA$.,"$\angle CBA = 120°$, so it is an obtuse angle.",,
AGREE,v19|y6m-shape|curriculum|secure|lesson|measure and classify angles,y6m-shape,Measure and classify angles,tryThis,27,A protractor shows an angle of $65°$. Measure and classify the angle.,65,65,place_value_chart
AGREE,v19|y6m-shape|curriculum|secure|lesson|measure and classify angles,y6m-shape,Measure and classify angles,quickCheck,27,You align one arm with the $0°$ on the inner scale. The other arm reaches $135°$ on that scale. What is the angle and its classification?,45°,45°,angle_diagram
AGREE,v19|y6m-shape|curriculum|secure|lesson|measure and classify angles,y6m-shape,Measure and classify angles,guidedPractice[0],27,A measured angle is $45°$. Classify it.,135°,135°,angle_diagram
AGREE,v19|y6m-shape|curriculum|secure|lesson|measure and classify angles,y6m-shape,Measure and classify angles,guidedPractice[1],27,A measured angle is $90°$. Classify it.,90°,90°,angle_diagram
AGREE,v19|y6m-shape|curriculum|secure|lesson|measure and classify angles,y6m-shape,Measure and classify angles,guidedPractice[2],27,A measured angle is $150°$. Classify it.,30°,30°,angle_diagram
AGREE,v19|y6m-shape|curriculum|secure|lesson|measure and classify angles,y6m-shape,Measure and classify angles,independentPractice[0],27,A protractor reading is $30°$. Classify the angle.,150°,150°,angle_diagram
AGREE,v19|y6m-shape|curriculum|secure|lesson|measure and classify angles,y6m-shape,Measure and classify angles,independentPractice[1],27,A protractor reading is $110°$. Classify the angle.,70°,70°,angle_diagram
AGREE,v19|y6m-shape|curriculum|secure|lesson|measure and classify angles,y6m-shape,Measure and classify angles,independentPractice[2],27,A protractor reading is $180°$. Classify the angle.,0°,0°,angle_diagram
AGREE,v19|y5m-position-direction|curriculum|secure|guided|read and plot coordinates (first quadrant),y5m-position-direction,Read and plot coordinates (first quadrant),workedExample,8,"Plot point $A$ at $(4, 3)$ on the coordinate grid.","(4,3)","(4,3)",coordinate_plot
AGREE,v19|y5m-position-direction|curriculum|secure|guided|read and plot coordinates (first quadrant),y5m-position-direction,Read and plot coordinates (first quadrant),tryThis,8,"Plot point $B$ at $(2, 5)$. How many squares do you move right and up?","Move $2$ squares right and $5$ squares up. Point $B$ is at $(2, 5)$.","(2,5)",coordinate_plot
AGREE,v19|y5m-position-direction|curriculum|secure|guided|read and plot coordinates (first quadrant),y5m-position-direction,Read and plot coordinates (first quadrant),quickCheck,8,"Which coordinate means $3$ squares right and $2$ squares up: $(2, 3)$ or $(3, 2)$?","$(3, 2)$","(3,2)",coordinate_plot
AGREE,v19|y5m-position-direction|curriculum|secure|guided|read and plot coordinates (first quadrant),y5m-position-direction,Read and plot coordinates (first quadrant),guidedPractice[0],8,"Plot point $C$ at $(1, 4)$.","Point $C$ is at $(1, 4)$.","(1,4)",coordinate_plot
AGREE,v19|y5m-position-direction|curriculum|secure|guided|read and plot coordinates (first quadrant),y5m-position-direction,Read and plot coordinates (first quadrant),guidedPractice[1],8,A point is $5$ squares right and $2$ squares up from the origin. Write its coordinate.,"The coordinate is $(5, 2)$.","(5,2)",coordinate_plot
AGREE,v19|y5m-position-direction|curriculum|secure|guided|read and plot coordinates (first quadrant),y5m-position-direction,Read and plot coordinates (first quadrant),guidedPractice[2],8,Read the coordinate of point $D$ that is $3$ squares right and $6$ squares up.,"Point $D$ is at $(3, 6)$.","(3,6)",coordinate_plot
AGREE,v19|y5m-position-direction|curriculum|secure|guided|read and plot coordinates (first quadrant),y5m-position-direction,Read and plot coordinates (first quadrant),independentPractice[0],8,"Plot point $E$ at $(6, 1)$.","Point $E$ is at $(6, 1)$.","(6,1)",coordinate_plot
AGREE,v19|y5m-position-direction|curriculum|secure|guided|read and plot coordinates (first quadrant),y5m-position-direction,Read and plot coordinates (first quadrant),independentPractice[1],8,"Plot point $F$ at $(2, 3)$.","Point $F$ is at $(2, 3)$.","(2,3)",coordinate_plot
AGREE,v19|y5m-position-direction|curriculum|secure|guided|read and plot coordinates (first quadrant),y5m-position-direction,Read and plot coordinates (first quadrant),independentPractice[2],8,Write the coordinate of a point $4$ squares right and $5$ squares up.,"The coordinate is $(4, 5)$.","(4,5)",coordinate_plot
UNVERIFIABLE,v19|y6m-add-subtract|curriculum|secure|lesson|add and subtract integers,y6m-add-subtract,Add and subtract integers,workedExample,20,$468 + 357$,825,,
UNVERIFIABLE,v19|y6m-add-subtract|curriculum|secure|lesson|add and subtract integers,y6m-add-subtract,Add and subtract integers,tryThis,20,$276 + 489$,$765$,,
UNVERIFIABLE,v19|y6m-add-subtract|curriculum|secure|lesson|add and subtract integers,y6m-add-subtract,Add and subtract integers,quickCheck,20,"In $268 + 157$, what digit is carried from the ones column?","$1$, because $8 + 7 = 15$.",,
UNVERIFIABLE,v19|y6m-add-subtract|curriculum|secure|lesson|add and subtract integers,y6m-add-subtract,Add and subtract integers,guidedPractice[0],20,$245 + 136$,$381$,,
UNVERIFIABLE,v19|y6m-add-subtract|curriculum|secure|lesson|add and subtract integers,y6m-add-subtract,Add and subtract integers,guidedPractice[1],20,$389 + 247$,$636$,,
UNVERIFIABLE,v19|y6m-add-subtract|curriculum|secure|lesson|add and subtract integers,y6m-add-subtract,Add and subtract integers,independentPractice[0],20,$154 + 328$,$482$,,
UNVERIFIABLE,v19|y6m-add-subtract|curriculum|secure|lesson|add and subtract integers,y6m-add-subtract,Add and subtract integers,independentPractice[1],20,$476 + 259$,$735$,,
UNVERIFIABLE,v19|y6m-add-subtract|curriculum|secure|lesson|add and subtract integers,y6m-add-subtract,Add and subtract integers,independentPractice[2],20,$687 + 168$,$855$,,
UNVERIFIABLE,v4|y5m-fractions|curriculum|developing|lesson,y5m-fractions,,workedExample,0,How do we add $\frac{1}{4}$ and $\frac{2}{4}$?,We get $\frac{3}{4}$,,
AGREE,v4|y5m-fractions|curriculum|developing|lesson,y5m-fractions,,tryThis,0,What is $\frac{3}{5} + \frac{1}{5}$?,$\frac{4}{5}$,4/5,fraction_ops
AGREE,v4|y5m-mult-div-a|curriculum|secure|guided,y5m-mult-div-a,,workedExample,1,What is $250 \times 1000$?,"$250,000$",250000,place_value_shift
AGREE,v4|y5m-mult-div-a|curriculum|secure|guided,y5m-mult-div-a,,tryThis,1,What is $480 \times 100$?,"$48,000$",48000,place_value_shift
UNVERIFIABLE,"v19|y5m-converting-units|curriculum|secure|guided|metric units of length, mass and capacity",y5m-converting-units,"Metric units of length, mass and capacity",workedExample,1,Convert $3.5\text{ l}$ to millilitres.,1/2 = 0.5 = 50%,,
UNVERIFIABLE,"v19|y5m-converting-units|curriculum|secure|guided|metric units of length, mass and capacity",y5m-converting-units,"Metric units of length, mass and capacity",tryThis,1,Convert $2.4\text{ l}$ to millilitres.,$2.4\text{ l}=2400\text{ ml}$,,
UNVERIFIABLE,"v19|y5m-converting-units|curriculum|secure|guided|metric units of length, mass and capacity",y5m-converting-units,"Metric units of length, mass and capacity",quickCheck,1,Which is greater: $2\text{ l}$ or $1900\text{ ml}$?,$2\text{ l}$ is greater because $2\text{ l}=2000\text{ ml}$ and $2000>1900$.,,
UNVERIFIABLE,"v19|y5m-converting-units|curriculum|secure|guided|metric units of length, mass and capacity",y5m-converting-units,"Metric units of length, mass and capacity",guidedPractice[0],1,Convert $6\text{ l}$ to millilitres.,$6\text{ l}=6000\text{ ml}$,,
AGREE,"v19|y5m-converting-units|curriculum|secure|guided|metric units of length, mass and capacity",y5m-converting-units,"Metric units of length, mass and capacity",guidedPractice[1],1,Convert $1250\text{ ml}$ to litres.,$1250\text{ ml}=1.25\text{ l}$,1.25 l,unit_conversion
UNVERIFIABLE,"v19|y5m-converting-units|curriculum|secure|guided|metric units of length, mass and capacity",y5m-converting-units,"Metric units of length, mass and capacity",guidedPractice[2],1,A bottle holds $1.75\text{ l}$. Write this in millilitres.,$1.75\text{ l}=1750\text{ ml}$,,
UNVERIFIABLE,"v19|y5m-converting-units|curriculum|secure|guided|metric units of length, mass and capacity",y5m-converting-units,"Metric units of length, mass and capacity",independentPractice[0],1,Convert $4.2\text{ l}$ to millilitres.,$4.2\text{ l}=4200\text{ ml}$,,
AGREE,"v19|y5m-converting-units|curriculum|secure|guided|metric units of length, mass and capacity",y5m-converting-units,"Metric units of length, mass and capacity",independentPractice[1],1,Convert $3500\text{ ml}$ to litres.,$3500\text{ ml}=3.5\text{ l}$,3.5 l,unit_conversion
UNVERIFIABLE,"v19|y5m-converting-units|curriculum|secure|guided|metric units of length, mass and capacity",y5m-converting-units,"Metric units of length, mass and capacity",independentPractice[2],1,Convert $0.6\text{ l}$ to millilitres.,$0.6\text{ l}=600\text{ ml}$,,
AGREE,"v19|y6m-fdp|curriculum|secure|lesson|equivalent fractions, decimals and percentages",y6m-fdp,"Equivalent fractions, decimals and percentages",workedExample,20,Write $\frac{3}{4}$ as a decimal and a percentage.,3/4 = 0.75 = 75%,3/4 = 0.75 = 75%,fdp_equivalence
AGREE,"v19|y6m-fdp|curriculum|secure|lesson|equivalent fractions, decimals and percentages",y6m-fdp,"Equivalent fractions, decimals and percentages",tryThis,20,Write $\frac{1}{2}$ as a decimal and a percentage.,$\frac{1}{2} = \frac{50}{100} = 0.5 = 50\%$,1/2 = 0.5 = 50%,fdp_equivalence
UNVERIFIABLE,"v19|y6m-fdp|curriculum|secure|lesson|equivalent fractions, decimals and percentages",y6m-fdp,"Equivalent fractions, decimals and percentages",quickCheck,20,"Which is equivalent to $0.25$: $\frac{1}{2}$, $\frac{1}{4}$ or $\frac{3}{4}$?","$\frac{1}{4}$, because $\frac{1}{4} = \frac{25}{100} = 0.25 = 25\%$.",,
AGREE,"v19|y6m-fdp|curriculum|secure|lesson|equivalent fractions, decimals and percentages",y6m-fdp,"Equivalent fractions, decimals and percentages",guidedPractice[0],20,Write $\frac{1}{4}$ as a decimal and a percentage.,$\frac{1}{4} = \frac{25}{100} = 0.25 = 25\%$,1/4 = 0.25 = 25%,fdp_equivalence
UNVERIFIABLE,"v19|y6m-fdp|curriculum|secure|lesson|equivalent fractions, decimals and percentages",y6m-fdp,"Equivalent fractions, decimals and percentages",guidedPractice[1],20,Complete: $0.5 = \frac{\square}{100} = \square\%$.,$0.5 = \frac{50}{100} = 50\%$,,
